cctvid,roadsection,px,py,url,status
66000C000091,西安街/西安街277巷,120.6482,24.18194,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000091,0
66000C000093,"文心路/櫻花路(右側車流往長安國小),Wenxin Rd/Yinghua Rd (Right side Traffic flow to Chanes School)",120.6541,24.16775,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000093,0
66000C000094,"市政北七路/惠中路(右側車流往市政路),Shizheng N. 7th Rd/Huizhong Rd (Right side Traffic flow to Shizheng Rd)",120.6453,24.16289,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000094,0
66000C000095,忠孝路/振興路(右側車流往建成路) Zhongxiao Rd/Zhenxing Rd(Right side Traffic flow to Jiancheng Rd),120.6914,24.13356,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000095,0
66000C000096,樂業二路/進德路(右側車流往振興路)  Leye 2nd Rd/Jinde Rd(Right side Traffic flow to Zhenxing Rd),120.6931,24.13484,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000096,0
66000C000098,"臺灣大道/惠中路(右側車流往文心路),Taiwan Blvd/Huizhong Rd (Right side Traffic flow to Wenxin Rd)",120.6461,24.16441,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000098,0
66000C000099,"市政路/惠中路(右側車流往臺灣大道),Shizheng Rd/Huizhong Rd (Right side Traffic flow to Taiwan Blvd)",120.6418,24.15755,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000099,0
66000C000101,"雙十路/精武路(右側車流往臺灣體育大學),Shuangshi Rd/Jingwu Rd (Right side Traffic flow to NTSU)",120.686,24.1462,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000101,0
66000C000103,"朝馬路/環中路(往工業區拍攝),Chaoma Rd/Huanzhong Rd (filming to industrial area)",120.6321,24.17034,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000103,0
66000C000104,"朝馬路/安和路(右側車流往環中路),Chaoma Rd/Anhe Rd  (Right side Traffic flow to Huanzhong Rd.)",120.6222,24.17417,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000104,0
