cctv_ID,Direction,RoadName,VideoStreamURL
CCTV77,NE,芳漢路永興段,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV77&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV78,E,台14線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV78&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV79,E,148,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV79&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV80,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV80&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV81,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV81&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV82,N,台1線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV82&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV83,N,青雲路,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV83&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV84,W,144,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV84&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV85,N,台19線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV85&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV86,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV86&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV87,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV87&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV88,S,135,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV88&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV90,S,台1丙線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV90&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV93,N,中正路二段,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV93&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV96,W,台74甲線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV96&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV97,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV97&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV98,W,144,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV98&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV99,E,144,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV99&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV92,S,台19線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV92&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
